name,inat_place_id,orgname,fws_region,prop_type
Grulla National Wildlife Refuge,119309,GRULLA NATIONAL WILDLIFE REFUGE,2,NWR
Guadalupe-Nipomo Dunes National Wildlife Refuge,119310,GUADALUPE-NIPOMO DUNES NATIONAL WILDLIFE REFUGE,8,NWR
Guam National Wildlife Refuge,119342,GUAM NATIONAL WILDLIFE REFUGE,1,NWR
Hackmatack National Wildlife Refuge,119343,HACKMATACK NATIONAL WILDLIFE REFUGE,3,NWR
Hagerman National Wildlife Refuge,119344,HAGERMAN NATIONAL WILDLIFE REFUGE,2,NWR
Hailstone National Wildlife Refuge,119345,HAILSTONE NATIONAL WILDLIFE REFUGE,6,NWR
Hakalau Forest National Wildlife Refuge,119346,HAKALAU FOREST NATIONAL WILDLIFE REFUGE,1,NWR
Hamden Slough National Wildlife Refuge,119347,HAMDEN SLOUGH NATIONAL WILDLIFE REFUGE,3,NWR
Hanalei National Wildlife Refuge,119348,HANALEI NATIONAL WILDLIFE REFUGE,1,NWR
Handy Brake National Wildlife Refuge,119349,HANDY BRAKE NATIONAL WILDLIFE REFUGE,4,NWR
Harbor Island National Wildlife Refuge,119350,HARBOR ISLAND NATIONAL WILDLIFE REFUGE,3,NWR
Harris Neck National Wildlife Refuge,119351,HARRIS NECK NATIONAL WILDLIFE REFUGE,4,NWR
Hart Mountain National Antelope Refuge,119352,HART MOUNTAIN NATIONAL ANTELOPE REFUGE,1,NWR
Hatchie National Wildlife Refuge,119353,HATCHIE NATIONAL WILDLIFE REFUGE,4,NWR
Havasu National Wildlife Refuge,119354,HAVASU NATIONAL WILDLIFE REFUGE,2,NWR
Hawaiian Islands National Wildlife Refuge,119355,HAWAIIAN ISLANDS NATIONAL WILDLIFE REFUGE,1,NWR
Hewitt Lake National Wildlife Refuge,119356,HEWITT LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Hillside National Wildlife Refuge,119357,HILLSIDE NATIONAL WILDLIFE REFUGE,4,NWR
Hobart Lake National Wildlife Refuge,119358,HOBART LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Hobe Sound National Wildlife Refuge,119359,HOBE SOUND NATIONAL WILDLIFE REFUGE,4,NWR
Holla Bend National Wildlife Refuge,119364,HOLLA BEND NATIONAL WILDLIFE REFUGE,4,NWR
Holt Collier National Wildlife Refuge,119365,HOLT COLLIER NATIONAL WILDLIFE REFUGE,4,NWR
Hopper Mountain National Wildlife Refuge,119315,HOPPER MOUNTAIN NATIONAL WILDLIFE REFUGE,8,NWR
Horicon National Wildlife Refuge,119368,HORICON NATIONAL WILDLIFE REFUGE,3,NWR
Howland Island National Wildlife Refuge,119371,HOWLAND ISLAND NATIONAL WILDLIFE REFUGE,1,NWR
Huleia National Wildlife Refuge,119372,HULEIA NATIONAL WILDLIFE REFUGE,1,NWR
Humboldt Bay National Wildlife Refuge,119373,HUMBOLDT BAY NATIONAL WILDLIFE REFUGE,8,NWR
Huron National Wildlife Refuge,119374,HURON NATIONAL WILDLIFE REFUGE,3,NWR
Huron Wetland Management District,119375,HURON WETLAND MANAGEMENT DISTRICT,3,WMD
Hutton Lake National Wildlife Refuge,119380,HUTTON LAKE NATIONAL WILDLIFE REFUGE,6,NWR
Imperial National Wildlife Refuge,119384,IMPERIAL NATIONAL WILDLIFE REFUGE,2,NWR
Innoko National Wildlife Refuge,119386,INNOKO NATIONAL WILDLIFE REFUGE,7,NWR
Iowa Wetland Management District,119385,IOWA WETLAND MANAGEMENT DISTRICT,3,WMD
Iroquois National Wildlife Refuge,119387,IROQUOIS NATIONAL WILDLIFE REFUGE,5,NWR
